hom_2	economy%1:04:00::	rescue%1:04:00::
hom_3	sting%1:26:01::	bite%2:39:00::
hom_4	entrench%2:35:00::	entrench%2:35:01::
hom_5	forge%1:06:01::	forge%2:38:01::
hom_7	hit%1:04:00::	hit%1:04:02::
hom_8	vault%1:06:02::	vault%1:04:00::
hom_9	deep%1:28:00::	deep%5:00:00:profound:00
hom_10	pin%2:35:02::	trap%2:35:02::
hom_11	cream%2:35:03::	solve%2:31:00::
hom_14	admit%2:41:01::	admit%2:32:00::
hom_15	crispen%2:30:00::	toast%2:34:00::
hom_16	plant%1:03:00::	plant%1:06:01::
hom_18	square%1:25:00::	square%1:18:00::
hom_19	grave%1:06:00::	grave%5:00:00:important:00
hom_20	wall_socket%1:06:00::	release%1:04:00::
hom_21	trace%2:35:00::	draw%1:04:00::
hom_22	snort%2:32:00::	huff%2:34:00::
hom_23	combustion%1:22:00::	burn%2:37:00::
hom_26	spell%2:36:00::	spell%2:32:01::
hom_27	bounce%1:11:00::	bounce%2:40:00::
hom_28	shooting%1:04:00::	shot%1:26:00::
hom_30	spurt%2:38:01::	rave%2:32:00::
hom_31	raft%1:06:00::	batch%1:23:00::
hom_34	coach%2:32:00::	coach%2:38:00::
hom_38	break%2:30:00::	interrupt%2:30:00::
hom_39	degree%1:26:01::	level%1:07:01::
hom_43	event%1:26:00::	case%1:06:01::
hom_44	range%1:15:02::	stove%1:06:01::
hom_45	part%1:09:02::	part%1:24:00::
hom_46	focus%1:09:00::	focus%1:07:01::
hom_47	groundbreaking%1:04:00::	innovative%5:00:00:original:00
hom_48	blanket%1:06:00::	cover%1:04:02::
hom_50	taste%1:09:02::	taste%1:11:00::
hom_51	fret%1:26:00::	fret%1:06:00::
hom_52	hush%1:07:00::	distillery%1:06:00::
hom_53	patent%1:10:01::	apparent%5:00:00:obvious:00
hom_55	see%2:39:00::	experience%2:39:01::
hom_58	foot%1:08:01::	foot%2:40:00::
hom_61	irrational_number%1:23:00::	irrational%3:00:00::
hom_62	landing%1:06:01::	land%2:38:01::
hom_63	premises%1:15:00::	premise%1:10:00::
hom_67	barroom%1:06:00::	legal_profession%1:14:00::
hom_70	break_down%2:37:00::	snap_bean%1:13:00::
hom_71	jimmies%1:13:00::	scattering%1:19:01::
hom_72	faculty%1:09:00::	staff%1:14:00::
hom_74	energy%1:07:02::	energy%1:19:00::
hom_75	book%2:41:00::	reserve%2:41:00::
hom_76	count%1:04:00::	count%2:31:02::
hom_77	remainder%1:24:00::	rest%1:04:00::
hom_78	crunch%1:26:00::	crunch%2:34:00::
hom_80	spurt%2:38:01::	rant%2:32:00::